subject,body,label
"Your PayPal account needs verification","Dear customer, we noticed unusual activity on your PayPal account. To ensure your account security, please log in and confirm your account details. If you do not verify your account within 48 hours, it may be suspended. Click here to verify: [URL].",1
"Project Update - Deadline Reminder","Hi Team, just a friendly reminder that the deadline for our project deliverables is approaching. Please make sure all pending tasks are completed by the end of this week. Let me know if you face any issues. Best regards, Project Manager.",0
"Amazon Order Confirmation","Thank you for your purchase! Your order #12345 has been shipped and will arrive soon. Track your package here: [URL]. If you didn’t place this order, please contact our support team immediately. Have a great day!",0
"Unusual Login Attempt Detected","We detected a login attempt from an unrecognized device. If this was you, you can ignore this message. If not, please reset your password to secure your account. Click here to reset your password: [URL].",1
"Summer Vacation Plans","Hey Alex, I hope this email finds you well! Just wanted to check if we’re still on for the beach trip in August. Let me know your availability so we can finalize the plans. Looking forward to catching up! Cheers, Jamie.",0
"Invoice Reminder","Dear Customer, This is a reminder that your invoice #98765 is due on 25th November. Please ensure payment is made to avoid late fees. If you have already paid, kindly disregard this message. Thank you for your prompt attention. Regards, Finance Team.",0
"Congratulations! You’ve won a prize","Dear User, Congratulations! You have been selected as the winner of our monthly giveaway. To claim your prize, please click the following URL and complete the form: [URL]. Act fast, as this offer expires in 24 hours!",1
"Team Meeting Agenda","Hello Team, Please find below the agenda for our upcoming team meeting: 1. Project updates, 2. Budget review, 3. New hire introductions, 4. Q&A. Let me know if there are additional items to include. See you on Thursday at 10 AM in Conference Room B.",0
"Account Suspended","Your email account has been temporarily suspended due to suspicious activity. To reactivate your account, please provide your login credentials by clicking the URL below. Failure to comply may result in permanent suspension.",1
"Upcoming Webinar: Register Now","We’re excited to invite you to our upcoming webinar on 'The Future of AI in Business.' Join industry experts as they discuss emerging trends and real-world applications. Reserve your spot today! Click here to register: [URL].",0
"Limited Time Offer: Get 50% Off","Exclusive deal for valued customers! Get 50% off your next purchase when you shop with us this week. Don’t miss this chance to save big! Shop now: [URL].",1
"Happy Birthday from All of Us!","Dear Sarah, Wishing you a wonderful birthday filled with joy and laughter. Thank you for being an amazing part of our team. Enjoy your special day! Warm regards, The Team.",0
"Password Reset Request","We received a request to reset your account password. If you initiated this request, click here to reset your password: [URL]. If you did not make this request, please ignore this email or contact our support team immediately.",1
"Weekly Newsletter","Hello Subscriber, Welcome to this week’s newsletter! Here’s what’s new: - Exciting updates in tech, - Tips for boosting productivity, - Special offers exclusive to our readers. Read more on our website. Stay inspired!",0
"Urgent: Verify Your Bank Details","Attention: We noticed discrepancies in your bank account details. Please verify your information immediately to avoid disruption of service. Click here to update your information: [URL].",1
"Family Reunion Plans","Hi Everyone, I’m thrilled to announce our family reunion is confirmed for December 10th! Let’s gather at Grandma’s house at noon. Please RSVP so we can finalize food arrangements. Looking forward to seeing you all!",0
"Security Alert: Suspicious Login","Dear User, Our system detected a login attempt from an unknown location. To protect your account, we recommend changing your password immediately. Please click the URL below to secure your account: [URL].",1
"Team Outing Poll","Hello Team, We’re planning a team outing and would love your input! Please take this quick poll to help us decide the venue: [URL]. Your feedback is greatly appreciated. Best, HR Team.",0
